57,5,GG-01-MO-ESC-0005,000031-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ESCRITORIO,ESCRITORIO,HORIZONTAL 3 SERVICIOS SIN PORTA TECLADO,ESCRITORIO METÁLICO Y MADERA,COLOR NEGRO Y CAFÉ 3 GAVETAS,SIN MARCA,SIN MODELO,SIN SERIE,CAFE,BUENO,METAL,ADMINSTRACION,,0.00,0,"L 120CM, AN 60CM, AL",2_bien_57.JPG,0,,,,,,,,,,,,,,no,0
58,5,,000032-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),SILLA,GIRATORIA,SIN APOYA BRAZOS FORRADA DE CORROSIL,SIN INFORMACION,SIN OBSERVACION,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,BUENO,METAL,ADMINSTRACION,,0.00,0,,2_bien_58.JPG,0,,,,,,,,,,,,,,no,0
59,5,GG-01-EC-PAR-0002,000415-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),PARLANTES,DOS BOCINAS,DOS BOCINAS,PARLANTE,GENIUS,GENIUS,SP-U115,ZF2674509860,ROJO,BUENO,ELECTRONICO,ADMINSTRACION,,7.00,0,,2_bien_59.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
60,5,GG-01-EC-MOU-0002,000416-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MOUSE,ALHAMBRICO,SCROLL ,MOUSE,GENIUS,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,BUENO,PLASTICO,ADMINSTRACION,,8.50,0,,2_bien_60.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
61,5,GG-01-EC-TEC-0001,000417-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),TECLADO,FUNCIONAL,FUNCIONAL,TECLADO COLOR NEGRO,Q-ONE,Q-ONE,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,10.00,0,,2_bien_61.JPG,0,10-JUN-17,,,,,,,,,,,,,no,0
62,6,GG-01-EC-CPU-0002,000033-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),CPU,CLON,INTEL PENTIUM INSIDE,"CPU COLOR NEGRO, CON CODIGO DE REFERENCIAN 1806050505",ARES,SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,569.68,0,,2_bien_62.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
63,6,GG-01-EC-MON-0002,000034-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MONITOR,PANTALLA LED,"PANTALLA PLANA 19.5""",MONITOR COLOR NEGRO,SAMSUNG,SAMSUNG,S20D300,ZZDVH4LH400380D,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,160.00,0,,2_bien_63.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
64,6,GG-01-EC-IMP-0001,000035-2,EQUIPO DE OFICINA (E.O.),EQUIPO DE OFICINA (E.O.),BATERÍA DE IMPRESORA,MULTIFUNCION,DIGITAL 3 BANDEJAS,IMPRESORA,EPSON,EPSON,M200,UKSY007370,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,417.54,0,,2_bien_64.JPG,0,19-JUL-16,,,,,,,,,,,,,no,0
65,6,,000036-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),ESCRITORIO,ESTACION DE TRABAJO,EN L 3 SERVICIOS SIN PORTA TECLADO,COD DE REF. CREL1805050506,SIN CODIGO ANTERIOR,SIN MARCA,SIN MODELO,SIN SERIE,CAFE,BUENO,METAL,ADMINSTRACION,,0.00,0,L 235CM- AN 65CM- AL,2_bien_65.JPG,0,,,,,,,,,,,,,,no,0
66,6,,000037-2,MUEBLES DE OFICINA (M.O.),MUEBLES DE OFICINA (M.O.),SILLA,GIRATORIA,SIN APOYA BRAZOS FORRADA DE CORROSIL,SIN INFORMACION,"SIN OBSERVACION, CG-01-MO-SIG-0005",SIN MARCA,SIN MODELO,SIN SERIE,NEGRO,BUENO,METAL,ADMINSTRACION,,0.00,0,SIN DIMENSIONES,2_bien_66.JPG,0,,,,,,,,,,,,,,no,0
67,6,GG-01-EC-TEC-0002,000418-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),TECLADO,FUNCIONAL,FUNCIONAL,TECLADO COLOR NEGRO,TERRAX,TERRAX,SIN MODELO,SIN SERIE,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,8.00,0,,2_bien_67.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
68,6,GG-01-EC-MOU-0004,000419-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),MOUSE,ALHAMBRICO,SCROLL ,MOUSE,GENIUS,GENIUS,DX-110,X7E94041201214,VERDE,BUENO,ELECTRONICO,ADMINSTRACION,,8.50,0,,2_bien_68.JPG,0,05-OCT-16,,,,,,,,,,,,,no,0
69,6,GG-01-EC-PAR-0003,000420-2,EQUIPO DE COMPUTACIÓN (E.C.),EQUIPO DE COMPUTACIÓN (E.C.),PARLANTES,DOS BOCINAS,2 BOCINAS,PARLANTE,"TERRAX, MAL LA MARCA",GENIUS,SP-U120,UG1602509603,NEGRO,BUENO,ELECTRONICO,ADMINSTRACION,,12.00,0,,2_bien_69.JPG,0,02-FEB-17,,,,,,,,,,,,,no,0
70,6,GG-01-EC-TEL-0003,000421-2,EQUIPO DE OFICINA (E.O.),EQUIPO DE OFICINA (E.O.),TELEFONO,DIGITAL,DIGITAL CON PANTALLA ,SIN INFORMACION,NO ARROJA INFORMACION CODIGO ANTERIOR,GRANDSTREAM,GXP1620,22MTB2RG90A0FBB0,NEGRO,REGULAR,PLASTICO,ADMINSTRACION,,97.25,0,,2_bien_70.JPG,0,01-may-17,,,,,,,,,,,,,no,0
